
 PRINT U    NODAL SOLUTION PER NODE
 
  ***** POST1 NODAL DEGREE OF FREEDOM LISTING *****                            
 
  LOAD STEP=     1  SUBSTEP=     1                                             
   TIME=    2.7480      LOAD CASE=   0                                         
 
  THE FOLLOWING DEGREE OF FREEDOM RESULTS ARE IN THE GLOBAL COORDINATE SYSTEM  
 
    NODE       UX           UY           UZ           USUM  
     228  0.22065E-003 0.44631E-003-0.36894E-003 0.61968E-003
     229  0.28204E-003 0.14676E-003-0.11950E-003 0.33965E-003
     230  0.25190E-003 0.54693E-003-0.40744E-003 0.72704E-003
     231  0.22636E-003 0.51117E-003-0.36220E-003 0.66613E-003
     232  0.21033E-003 0.45157E-003-0.31009E-003 0.58678E-003
     233  0.21233E-003 0.36358E-003-0.25071E-003 0.49003E-003
     234  0.23695E-003 0.25584E-003-0.18579E-003 0.39511E-003
     235   0.0000       0.0000       0.0000       0.0000     
     236  0.43271E-004 0.39619E-004-0.38394E-004 0.70115E-004
     237  0.99133E-004 0.89170E-004-0.68773E-004 0.15003E-003
     238  0.18000E-003 0.12435E-003-0.94603E-004 0.23836E-003
     239   0.0000       0.0000       0.0000       0.0000     
     240   0.0000       0.0000       0.0000       0.0000     
     241   0.0000       0.0000       0.0000       0.0000     
     242   0.0000       0.0000       0.0000       0.0000     
     243  0.10114E-003 0.24532E-003-0.21577E-003 0.34201E-003
     244  0.17139E-003 0.40666E-003-0.31203E-003 0.54047E-003
     245  0.15262E-003 0.38510E-003-0.28044E-003 0.50024E-003
     246  0.45496E-004 0.79193E-004-0.11376E-003 0.14588E-003
     247  0.42105E-004 0.73361E-004-0.98768E-004 0.13004E-003
     248  0.43880E-004 0.76474E-004-0.89827E-004 0.12587E-003
     249  0.39285E-004 0.53399E-004-0.58769E-004 0.88592E-004
     250  0.83971E-004 0.13434E-003-0.10511E-003 0.19012E-003
     251  0.15253E-003 0.20120E-003-0.14529E-003 0.29130E-003
     252  0.13950E-003 0.28226E-003-0.19717E-003 0.37149E-003
     253  0.14137E-003 0.34657E-003-0.24319E-003 0.44636E-003
     254  0.85380E-004 0.18778E-003-0.14553E-003 0.25244E-003
     255  0.89370E-004 0.23014E-003-0.19387E-003 0.31391E-003
     256  0.86797E-004 0.22945E-003-0.17876E-003 0.30354E-003
     257  0.35311E-003 0.39031E-004 0.62486E-004 0.36071E-003
     258  0.34137E-003 0.49163E-004-0.50397E-004 0.34855E-003
     259  0.38831E-003-0.40189E-005 0.58665E-005 0.38838E-003
     260  0.39816E-003-0.50999E-005 0.44351E-004 0.40065E-003
     261   0.0000       0.0000       0.0000       0.0000     
     262  0.47363E-004 0.22316E-004 0.16536E-004 0.54906E-004
     263  0.13277E-003 0.30834E-004 0.32464E-004 0.14012E-003
     264  0.23727E-003 0.34901E-004 0.47818E-004 0.24454E-003
     265   0.0000       0.0000       0.0000       0.0000     
     266   0.0000       0.0000       0.0000       0.0000     
     267   0.0000       0.0000       0.0000       0.0000     
     268  0.47707E-004 0.27630E-004-0.17777E-004 0.57926E-004
     269  0.51758E-004 0.20188E-004-0.91895E-006 0.55563E-004
     270  0.52188E-004 0.18575E-004 0.10761E-004 0.56430E-004
     271  0.12068E-003 0.47632E-004-0.30467E-004 0.13327E-003
     272  0.13887E-003 0.22922E-004 0.70048E-006 0.14076E-003
     273  0.14522E-003 0.18045E-004 0.22163E-004 0.14801E-003
     274  0.22027E-003 0.53286E-004-0.40597E-004 0.23023E-003
     275  0.25363E-003 0.12804E-004 0.34640E-005 0.25397E-003
     276  0.26337E-003 0.81393E-005 0.33599E-004 0.26563E-003
     277  0.24434E-003 0.11234E-003 0.61687E-004 0.27591E-003
     278  0.87770E-004 0.18769E-003 0.47747E-004 0.21262E-003
     279   0.0000       0.0000       0.0000       0.0000     
     280   0.0000       0.0000       0.0000       0.0000     
     281  0.36272E-004 0.29792E-004 0.17005E-004 0.49924E-004
     282  0.20520E-004 0.38325E-004 0.13908E-004 0.45643E-004
     283  0.98377E-004 0.55324E-004 0.32649E-004 0.11749E-003
     284  0.47552E-004 0.81778E-004 0.25970E-004 0.98098E-004
     285  0.16942E-003 0.82053E-004 0.47425E-004 0.19412E-003
     286  0.70336E-004 0.13146E-003 0.37040E-004 0.15362E-003
     287 -0.27173E-003 0.58631E-003 0.80595E-004 0.65123E-003
     288 -0.13918E-003 0.32407E-003 0.38460E-004 0.35479E-003
     289 -0.19760E-003 0.41096E-003 0.47196E-004 0.45843E-003
     290 -0.24740E-003 0.50018E-003 0.60136E-004 0.56125E-003
     291 -0.83959E-003 0.63632E-003 0.18817E-003 0.10702E-002
     292 -0.66194E-003 0.64770E-003 0.72814E-004 0.92897E-003
     293 -0.87425E-003 0.64683E-003 0.10412E-003 0.10925E-002
     294 -0.43912E-003 0.35636E-003 0.97967E-004 0.57395E-003
     295 -0.59736E-003 0.44425E-003 0.11955E-003 0.75398E-003
     296 -0.73815E-003 0.53773E-003 0.14878E-003 0.92529E-003
     297 -0.34217E-003 0.35744E-003 0.30284E-004 0.49574E-003
     298 -0.45293E-003 0.35899E-003 0.47784E-004 0.57991E-003
     299 -0.46444E-003 0.45221E-003 0.37799E-004 0.64933E-003
     300 -0.61176E-003 0.45142E-003 0.59037E-004 0.76257E-003
     301 -0.57824E-003 0.55028E-003 0.50536E-004 0.79983E-003
     302 -0.75975E-003 0.54788E-003 0.76553E-004 0.93982E-003
     303  0.79070E-003 0.13686E-002 0.81166E-003 0.17768E-002
     304 -0.57931E-003 0.67930E-003 0.31453E-003 0.94656E-003
     305 -0.16138E-003 0.81425E-003 0.47073E-003 0.95427E-003
     306  0.32721E-003 0.10507E-002 0.64226E-003 0.12742E-002
     307  0.40104E-003 0.75163E-003 0.50011E-003 0.98787E-003
     308  0.47625E-003 0.92872E-003 0.59710E-003 0.12024E-002
     309  0.60636E-003 0.11378E-002 0.70438E-003 0.14692E-002
     310 -0.30784E-003 0.38125E-003 0.17646E-003 0.52082E-003
     311 -0.90278E-004 0.45549E-003 0.27744E-003 0.54092E-003
     312  0.16466E-003 0.58401E-003 0.38946E-003 0.72101E-003
     313 -0.43131E-003 0.47167E-003 0.21343E-003 0.67383E-003
     314 -0.15464E-003 0.56133E-003 0.33334E-003 0.67091E-003
     315  0.17078E-003 0.71959E-003 0.46592E-003 0.87411E-003
     316 -0.52830E-003 0.57113E-003 0.25922E-003 0.82006E-003
     317 -0.18277E-003 0.68159E-003 0.39868E-003 0.81050E-003
     318  0.22281E-003 0.87708E-003 0.55230E-003 0.10602E-002
     319  0.79516E-003 0.19664E-002 0.12030E-002 0.24385E-002
     320  0.11365E-002 0.17047E-002 0.95873E-003 0.22620E-002
     321  0.13272E-002 0.20040E-002 0.10772E-002 0.26339E-002
     322  0.13455E-002 0.22005E-002 0.11598E-002 0.28280E-002
     323  0.12058E-002 0.22419E-002 0.12039E-002 0.28159E-002
     324  0.97456E-003 0.21163E-002 0.12084E-002 0.26247E-002
     325  0.41095E-003 0.10064E-002 0.74311E-003 0.13168E-002
     326  0.52715E-003 0.12961E-002 0.90823E-003 0.16681E-002
     327  0.67513E-003 0.16582E-002 0.10785E-002 0.20902E-002
     328  0.56112E-003 0.91077E-003 0.58970E-003 0.12215E-002
     329  0.64271E-003 0.10420E-002 0.66032E-003 0.13910E-002
     330  0.64359E-003 0.11165E-002 0.70821E-003 0.14705E-002
     331  0.58369E-003 0.11228E-002 0.73400E-003 0.14629E-002
     332  0.49623E-003 0.10750E-002 0.74305E-003 0.13978E-002
     333  0.69239E-003 0.11350E-002 0.70664E-003 0.15057E-002
     334  0.80888E-003 0.13100E-002 0.79467E-003 0.17326E-002
     335  0.81872E-003 0.14142E-002 0.85611E-003 0.18448E-002
     336  0.74514E-003 0.14288E-002 0.89008E-003 0.18409E-002
     337  0.63391E-003 0.13731E-002 0.90409E-003 0.17620E-002
     338  0.88727E-003 0.14051E-002 0.83453E-003 0.18596E-002
     339  0.10440E-002 0.16392E-002 0.94030E-003 0.21589E-002
     340  0.10635E-002 0.17886E-002 0.10156E-002 0.23155E-002
     341  0.96517E-003 0.18184E-002 0.10573E-002 0.23143E-002
     342  0.81300E-003 0.17470E-002 0.10718E-002 0.22049E-002
     343  0.39227E-003 0.20012E-002 0.11942E-002 0.23632E-002
     344  0.70888E-003 0.19525E-002 0.12166E-002 0.24073E-002
     345  0.60912E-003 0.20007E-002 0.12302E-002 0.24264E-002
     346  0.49112E-003 0.20062E-002 0.12184E-002 0.23981E-002
     347  0.21574E-003 0.93027E-003 0.71717E-003 0.11943E-002
     348  0.27144E-003 0.12398E-002 0.88687E-003 0.15484E-002
     349  0.33272E-003 0.16460E-002 0.10638E-002 0.19879E-002
     350  0.34922E-003 0.95512E-003 0.74023E-003 0.12578E-002
     351  0.29918E-003 0.92567E-003 0.73554E-003 0.12196E-002
     352  0.25609E-003 0.91895E-003 0.72820E-003 0.12001E-002
     353  0.45200E-003 0.12482E-002 0.90980E-003 0.16094E-002
     354  0.38746E-003 0.12266E-002 0.90811E-003 0.15746E-002
     355  0.32809E-003 0.12258E-002 0.90099E-003 0.15563E-002
     356  0.58408E-003 0.16250E-002 0.10853E-002 0.20395E-002
     357  0.50020E-003 0.16258E-002 0.10896E-002 0.20201E-002
     358  0.41458E-003 0.16341E-002 0.10819E-002 0.20031E-002
     359  0.27878E-003 0.90285E-003 0.26935E-003 0.98254E-003
     360  0.27934E-003 0.20674E-002 0.11681E-002 0.23909E-002
     361  0.13979E-003 0.21502E-002 0.11402E-002 0.24378E-002
     362  0.64951E-005 0.21248E-002 0.10828E-002 0.23848E-002
     363 -0.75297E-004 0.19831E-002 0.99928E-003 0.22219E-002
     364 -0.96091E-004 0.17695E-002 0.89440E-003 0.19850E-002
     365 -0.57173E-004 0.15278E-002 0.77356E-003 0.17134E-002
     366  0.26025E-004 0.12923E-002 0.64499E-003 0.14445E-002
     367  0.13266E-003 0.10995E-002 0.51408E-003 0.12210E-002
     368  0.22429E-003 0.97019E-003 0.38751E-003 0.10685E-002
     369  0.18277E-003 0.47973E-003 0.16013E-003 0.53776E-003
